data,%
201501,1.48
201502,1.16
201503,1.51
201504,0.71
201505,0.99
201506,0.77
201507,0.58
201508,0.25
201509,0.51
201510,0.77
201511,1.11
201512,0.90
201601,1.51
201602,0.95
201603,0.44
201604,0.64
201605,0.98
201606,0.47
201607,0.64
201608,0.31
201609,0.08
201610,0.17
201611,0.07
201612,0.14
201701,0.42
201702,0.24
201703,0.32
201704,0.08
201705,0.36
201706,-0.30
201707,0.17
201708,-0.03
201709,-0.02
201710,0.37
201711,0.18
201712,0.26
201801,0.23
201802,0.18
201803,0.07
201804,0.21
201805,0.43
201806,1.43
201807,0.25
201808,0.00
201809,0.30
201810,0.40
201811,-0.25
201812,0.14
201901,0.36
201902,0.54
201903,0.77
201904,0.60
201905,0.15
201906,0.01
201907,0.10
201908,0.12
201909,-0.05
201910,0.04
201911,0.54
201912,1.22
202001,0.19
202002,0.17
202003,0.18
202004,-0.23
202005,-0.25
202006,0.30
202007,0.44
202008,0.36
202009,0.87
202010,0.89
202011,0.95
202012,1.46
202101,0.27
202102,0.82
202103,0.86
202104,0.38
202105,0.96
