date,%
01/01/2015,0.5882
01/02/2015,0.5169
01/03/2015,0.6302
01/04/2015,0.6079
01/05/2015,0.6159
01/06/2015,0.6822
01/07/2015,0.7317
01/08/2015,0.6876
01/09/2015,0.6930
01/10/2015,0.6799
01/11/2015,0.6303
01/12/2015,0.7261
01/01/2016,0.6327
01/02/2016,0.5962
01/03/2016,0.7179
01/04/2016,0.6311
01/05/2016,0.6541
01/06/2016,0.7053
01/07/2016,0.6629
01/08/2016,0.7558
01/09/2016,0.6583
01/10/2016,0.6609
01/11/2016,0.6435
01/12/2016,0.6858
01/01/2017,0.6708
01/02/2017,0.5304
01/03/2017,0.6527
01/04/2017,0.5000
01/05/2017,0.5768
01/06/2017,0.5539
01/07/2017,0.5626
01/08/2017,0.5512
01/09/2017,0.5000
01/10/2017,0.4690
01/11/2017,0.4273
01/12/2017,0.4273
01/01/2018,0.3994
01/02/2018,0.3994
01/03/2018,0.3855
01/04/2018,0.3715
01/05/2018,0.3715
01/06/2018,0.3715
01/07/2018,0.3715
01/08/2018,0.3715
01/09/2018,0.3715
01/10/2018,0.3715
01/11/2018,0.3715
01/12/2018,0.3715
01/01/2019,0.3715
01/02/2019,0.3715
01/03/2019,0.3715
01/04/2019,0.3715
01/05/2019,0.3715
01/06/2019,0.3715
01/07/2019,0.3715
01/08/2019,0.3434
01/09/2019,0.3434
01/10/2019,0.3153
01/11/2019,0.2871
01/12/2019,0.2871
01/01/2020,0.2588
01/02/2020,0.2588
01/03/2020,0.2446
01/04/2020,0.2162
01/05/2020,0.2162
01/06/2020,0.1733
01/07/2020,0.1303
01/08/2020,0.1303
01/09/2020,0.1159
01/10/2020,0.1159
01/11/2020,0.1159
01/12/2020,0.1159
01/01/2021,0.1159
01/02/2021,0.1159
01/03/2021,0.1159
01/04/2021,0.1590
01/05/2021,0.1590
01/06/2021,0.2019
01/07/2021,0.2446
